Timestamp,In_Temp,Out_Temp,In_Press,In_Press_BME,Out_Press,Out_Press_BME,In_Hum,Out_Hum,Pump_Temp,SB_Temp,Gps_X,Gps_Y,Gps_altitude,O3_1_ref,O3_1_voltage,O3_2_ref,O3_2_voltage,CO2_1_ref,CO2_2_voltage,CO2_2_ref,CO2_2_voltage,Data_acq,cycle_id,cycle_duration,stage1_duration,stage2_duration,stage3_duration,stage1_start,stage2_start,stage3_start,valve_1,valve_2,heater_1,heater_2,pump,stage_1,stage_2,stage_3
1631578724508,25.114,25.336,1006.0,101214.97,1001.6,101183.12,29.89,29.92,26.27,26.21,40.628,22.96,24.4,0.6017476432197244,0.6014996374184192,0.28392820884699055,0.6017476432197244,2.528711527377522,2.5148002881844382,2.5447342939481272,2.528711527377522,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578725733,25.114,25.331,1006.5,101223.14,1002.8,101182.28,29.9,29.92,26.37,26.09,40.628,22.96,24.3,0.602243654822335,0.6021196519216824,0.28442422044960114,0.602243654822335,2.4356801152737755,2.4717002881844383,2.475799135446686,2.4356801152737755,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578726959,25.119,25.336,1005.5,101215.82,1001.3,101185.85,29.92,29.91,26.47,26.21,40.628,22.96,24.2,0.6019956490210298,0.6016236403190718,0.28442422044960114,0.6019956490210298,2.3857487031700293,2.4590311239193086,2.4334443804034587,2.3857487031700293,1,0,0,10011,1,0,1631578688320,1631578698331,1631578698333,0,0,0,0,1,0,0,1
1631578728184,25.119,25.336,1006.3,101215.82,1002.2,101188.58,29.9,29.91,26.27,26.27,40.628,22.96,23.9,0.6023676577229876,0.6017476432197244,0.2840522117476432,0.6023676577229876,2.4015230547550437,2.485735734870317,2.437791642651297,2.4015230547550437,0,1,40058,10011,1,30045,1631578728378,1631578698331,1631578698333,1,1,0,0,1,1,0,0
1631578729413,25.119,25.336,1006.3,101213.10,1000.8,101183.12,29.86,29.91,26.41,26.29,40.628,22.96,23.8,0.601871646120377,0.601871646120377,0.2850442349528644,0.601871646120377,2.476917002881845,2.5290841498559082,2.485984149855908,2.476917002881845,0,1,40058,10011,1,30045,1631578728378,1631578698331,1631578698333,1,1,0,0,1,1,0,0
1631578730642,25.119,25.346,1005.7,101218.54,1001.1,101182.07,29.8,29.89,26.47,26.27,40.628,22.96,23.7,0.6019956490210298,0.6017476432197244,0.2846722262509065,0.6019956490210298,2.552931988472623,2.5701968299711817,2.5429953890489916,2.552931988472623,0,1,40058,10011,1,30045,1631578728378,1631578698331,1631578698333,1,1,0,0,1,1,0,0
1631578731869,25.119,25.341,1006.0,101218.54,1000.8,101189.41,29.77,29.9,26.43,26.09,40.628,22.96,23.8,0.602243654822335,0.601871646120377,0.28442422044960114,0.602243654822335,2.641119308357349,2.6144146974063402,2.6077074927953894,2.641119308357349,0,1,40058,10011,1,30045,1631578728378,1631578698331,1631578698333,1,1,0,0,1,1,0,0
1631578733096,25.13,25.346,1005.7,101220.24,1000.5,101184.79,29.75,29.9,26.29,26.31,40.628,22.96,23.8,0.6023676577229876,0.6013756345177664,0.2831841914430747,0.6023676577229876,2.7124144092219025,2.6406224783861676,2.6629798270893374,2.7124144092219025,0,1,40058,10011,1,30045,1631578728378,1631578698331,1631578698333,1,1,0,0,1,1,0,0
1631578734320,25.125,25.351,1006.5,101224.84,1001.4,101177.45,29.7,29.89,26.29,26.23,40.628,22.96,24.1,0.602243654822335,0.6017476432197244,0.2840522117476432,0.602243654822335,2.7114207492795392,2.622363976945245,2.671425936599424,2.7114207492795392,0,1,40058,10011,1,30045,1631578728378,1631578698331,1631578698333,1,1,0,0,1,1,0,0
1631578735545,25.13,25.351,1006.3,101217.52,1000.8,101185.63,29.68,29.87,26.23,26.21,40.628,22.96,24.1,0.6019956490210298,0.6017476432197244,0.285540246555475,0.6019956490210298,2.6367720461095105,2.581748126801153,2.6349089337175795,2.6367720461095105,0,1,40058,10011,1,30045,1631578728378,1631578698331,1631578698333,1,1,0,0,1,1,0,0
1631578736777,25.13,25.351,1006.5,101214.80,1001.4,101191.09,29.64,29.89,26.35,26.23,40.628,22.96,24.2,0.6019956490210298,0.6017476432197244,0.28442422044960114,0.6019956490210298,2.58236916426513,2.5436164265129686,2.5831144092219023,2.58236916426513,0,1,40058,10011,1,30045,1631578728378,1631578698331,1631578698333,1,1,0,0,1,1,0,0
1631578738008,25.135,25.356,1006.8,101215.65,1001.4,101183.74,29.61,29.89,26.53,26.23,40.628,22.96,24.1,0.6023676577229876,0.6017476432197244,0.2847962291515591,0.6023676577229876,2.5043668587896257,2.5027521613832855,2.5258547550432278,2.5043668587896257,0,1,40058,10011,1,30045,1631578728378,1631578698331,1631578698333,1,1,0,0,1,1,0,0
1631578739240,25.13,25.362,1006.3,101214.80,1001.6,101190.04,29.6,29.88,26.37,26.21,40.628,22.96,24.0,0.6019956490210298,0.601871646120377,0.285540246555475,0.6019956490210298,2.43555590778098,2.4714518731988475,2.474557060518732,2.43555590778098,1,1,40058,10011,0,30045,1631578728378,1631578738389,1631578738390,0,0,0,0,1,0,0,1
1631578740471,25.13,25.351,1006.0,101214.80,1000.8,101180.18,29.62,29.87,26.47,26.15,40.628,22.96,23.8,0.6023676577229876,0.6016236403190718,0.2841762146482959,0.6023676577229876,2.3904685878962537,2.45791325648415,2.4379158501440923,2.3904685878962537,1,1,40058,10011,0,30045,1631578728378,1631578738389,1631578738390,0,0,0,0,1,0,0,1
