

Complete listing of Fine Structure file
File:  D:\SoundingArchive\Sonde2021\Ball09\PTU\20210930\Esrange_20210930_045350_EDT_PTULevels.tsv

Started at       30 September 2021  4:53 UTC

Station  :       Esrange
Location :       67.89 N 21.08 E       335 m/MSL

RS type       :  RS41-SGP
RS-number     :  R0830048
Sounding processor serial number: 0


Ground check  :     Ref     RS   Corr

  Pressure    :   988.7  987.1    1.6
  Temperature :   /////  /////  /////
  Humidity    :   /////  /////  /////

Clouds    : /////
Special 1 : /////
Special 2 : /////

Telemetry noise level  :  100 %

   3  6    900.4     1041       0.3     97   -0.2                           
   3  7    899.9     1045       0.3     96   -0.2                           
   3  8    899.4     1049       0.3     96   -0.3                           
   3  9    899.0     1053       0.3     96   -0.3                           
   3 10    898.5     1057       0.3     96   -0.3                           
   3 11    898.0     1061       0.3     95   -0.4                           
   3 12    897.5     1066       0.4     94   -0.5                           
   3 13    897.1     1070       0.4     93   -0.6                           
   3 14    896.6     1074       0.4     92   -0.7                           
   3 15    896.1     1079       0.4     92   -0.8                           
   3 16    895.6     1083       0.4     92   -0.8                           
   3 17    895.1     1087       0.4     92   -0.9                           
   3 18    894.7     1092       0.4     91   -0.9                           
   3 19    894.2     1096       0.4     91   -0.9                           
   3 20    893.7     1100       0.4     91   -0.9                           
   3 21    893.2     1105       0.3     91   -0.9                           
   3 22    892.7     1109       0.3     91   -0.9                           
   3 23    892.3     1113       0.3     91   -1.0                           
   3 24    891.8     1117       0.3     91   -1.0                           
   3 25    891.3     1122       0.3     91   -1.0                           
   3 26    890.8     1126       0.2     92   -1.0                           
   3 27    890.4     1130       0.2     92   -1.0                           
   3 28    889.9     1134       0.2     92   -1.0                           
   3 29    889.4     1139       0.2     92   -1.0                           
   3 30    889.0     1143       0.1     92   -1.0                           
   3 31    888.5     1147       0.1     92   -1.0                           
   3 32    888.0     1151       0.1     92   -1.0                           
   3 33    887.5     1156       0.1     92   -1.1                           
   3 34    887.1     1160       0.1     92   -1.1                           
   3 35    886.6     1164       0.1     92   -1.1                           
   3 36    886.1     1169       0.0     92   -1.1                           
   3 37    885.6     1173       0.0     92   -1.1                           
   3 38    885.2     1177      -0.0     92   -1.2                           
   3 39    884.7     1181      -0.0     92   -1.2                           
   3 40    884.2     1186      -0.1     92   -1.2                           
   3 41    883.8     1190      -0.1     92   -1.2                           
   3 42    883.3     1194      -0.1     92   -1.2                           
   3 43    882.9     1198      -0.1     92   -1.2                           
   3 44    882.4     1202      -0.2     92   -1.2                           
   3 45    881.9     1206      -0.2     92   -1.3                           
   3 46    881.5     1211      -0.2     93   -1.2                           
   3 47    881.0     1215      -0.2     93   -1.2                           
   3 48    880.6     1219      -0.3     93   -1.2                           
   3 49    880.1     1223      -0.3     93   -1.3                           
   3 50    879.6     1227      -0.3     93   -1.3                           
   3 51    879.2     1231      -0.3     93   -1.3                           
   3 52    878.7     1236      -0.4     94   -1.3                           
   3 53    878.3     1240      -0.4     94   -1.3                           
   3 54    877.8     1244      -0.4     94   -1.3                           
   3 55    877.4     1248      -0.4     94   -1.3                           
   3 56    877.0     1252      -0.5     94   -1.3                           
   3 57    876.5     1256      -0.5     94   -1.3                           
   3 58    876.1     1260      -0.5     94   -1.3                           
   3 59    875.7     1264      -0.5     94   -1.3                           
   4  0    875.2     1268      -0.6     94   -1.4                           
   4  1    874.8     1272      -0.6     94   -1.4                           
   4  2    874.4     1276      -0.6     95   -1.3                           
   4  3    873.9     1279      -0.6     95   -1.3                           
   4  4    873.5     1283      -0.6     95   -1.4                           
   4  5    873.1     1287      -0.6     94   -1.4                           
   4  6    872.7     1291      -0.6     94   -1.5 T           T             
